Aasta,Sugu,Elukoht,Amet,Aasta_label,Sugu_label,Elukoht_label,Amet_label,value
2021,1,EE001,11,2021,Mehed ja naised,Põhja-Eesti,..Äri ja halduse tippspetsialistid,18168
2021,1,EE001,12,2021,Mehed ja naised,Põhja-Eesti,..IKT tippspetsialistid,13745
2021,1,EE001,13,2021,Mehed ja naised,Põhja-Eesti,"..Õigus-, sotsiaal- ja kultuurivaldkonna tippspetsialistid",9418
2021,1,EE001,14,2021,Mehed ja naised,Põhja-Eesti,Tehnikud ja keskastme spetsialistid,42214
2021,1,EE001,15,2021,Mehed ja naised,Põhja-Eesti,..Loodus- ja tehnikateaduste keskastme spetsialistid,7805
2021,1,EE001,16,2021,Mehed ja naised,Põhja-Eesti,..Tervishoiu keskastme spetsialistid,2608
2021,1,EE001,17,2021,Mehed ja naised,Põhja-Eesti,..Äri ja halduse keskastme spetsialistid,22384
2021,1,EE001,18,2021,Mehed ja naised,Põhja-Eesti,"..Õigus-, sotsiaal-, kultuuri- jms valdkonna keskastme spetsialistid",5625
2021,1,EE001,19,2021,Mehed ja naised,Põhja-Eesti,..Infotehnoloogia ja telekommunikatsiooni tehnikud,3792
2021,1,EE001,20,2021,Mehed ja naised,Põhja-Eesti,Kontoritöötajad ja klienditeenindajad,31684
2021,1,EE001,21,2021,Mehed ja naised,Põhja-Eesti,..Kontoritöötajad,5069
2021,1,EE001,22,2021,Mehed ja naised,Põhja-Eesti,..Klienditeenindajad,10237
2021,1,EE001,23,2021,Mehed ja naised,Põhja-Eesti,..Arvepidamise ja materjaliarvestuse kontoritöötajad,11510
2021,1,EE001,24,2021,Mehed ja naised,Põhja-Eesti,..Muud kontoritöötajad ja klienditeenindajad,4868
2021,1,EE001,25,2021,Mehed ja naised,Põhja-Eesti,Teenindus- ja müügitöötajad,43294
2021,1,EE001,26,2021,Mehed ja naised,Põhja-Eesti,..Isikuteenindajad,11812
2021,1,EE001,27,2021,Mehed ja naised,Põhja-Eesti,..Müügitöötajad,20786
2021,1,EE001,28,2021,Mehed ja naised,Põhja-Eesti,..Isikuhooldustöötajad,6148
