isco4_code,isco4_label,isco2_code,isco2_label,employment_estonia,felten_aei_isco4_exposure,ilo_wp140_exposure,demirev_ai_products_exposure,felten_aei_isco4_z,ilo_wp140_z,demirev_ai_products_z,felten_aei_isco4_quintile,ilo_wp140_quintile,demirev_ai_products_quintile,ensemble_z_mean,ensemble_z_sd,n_models,top_quintile_count,bottom_quintile_count,tier_label_quintile,tier_label_ensemble,tootukassa_balance_national,tootukassa_demand_national,notes
2342,Early childhood educators,23,Teaching professionals,7009,0.6501,0.0,0.1908,0.2147148873293702,-0.6854777735548961,0.030118232786397175,3,2,4,-0.14688155114637627,0.38822965652790303,3,0,0,Mixed,Mixed,4.0,3.0,
2351,Education methods specialists,23,Teaching professionals,493,0.9595,0.66,0.0,1.384792040480419,1.5398503414965126,-1.128111354394053,5,5,1,0.5988436758609594,1.2227812632330766,3,2,1,Contested High,Contested High,,,
2352,Special needs teachers,23,Teaching professionals,1790,0.7462,0.0,0.2053,0.5781422125323946,-0.6854777735548961,0.11813882510356984,4,2,4,0.0036010880270227704,0.522189644491203,3,0,0,Mixed,Mixed,4.0,3.0,
2353,Other language teachers,23,Teaching professionals,247,0.8937,0.33,0.2228,1.1359521029324586,0.42718628397080827,0.22437057445188152,5,4,4,0.5958363204517162,0.3907918003835333,3,1,0,Contested High,Contested High,4.0,3.0,
2354,Other music teachers,23,Teaching professionals,1799,0.7423,0.0,0.277,0.5633933408540199,-0.6854777735548961,0.5533854781477957,4,2,4,0.14376701514897317,0.5863788474034969,3,0,0,Mixed,Mixed,,,
2355,Other arts teachers,23,Teaching professionals,536,0.8542,0.33,0.1535,0.9865725051643056,0.42718628397080827,-0.196307152967433,4,4,3,0.4058172120558936,0.4831449398343754,3,0,0,Mixed,Mixed,,,
2356,Information technology trainers,23,Teaching professionals,66,0.9306,0.33,0.5264,1.2754991195816945,0.42718628397080827,2.0673396660031638,5,4,5,1.2566750231852222,0.6697221011244895,3,2,0,Robust High,Contested High,,,
2359,Teaching professionals not elsewhere classified,23,Teaching professionals,2669,0.9169,0.33,0.211,1.223688980608943,0.42718628397080827,0.15274002346273413,5,4,4,0.6012050960141618,0.4541988018565388,3,1,0,Contested High,Contested High,3.0,3.0,
2411,Accountants,24,Business & administration professionals,7291,0.9944,0.33,0.3296,1.5167755331920272,0.42718628397080827,0.8726877647604355,5,4,5,0.9388831939744237,0.4472788534693117,3,2,0,Robust High,Contested High,3.0,3.0,
2412,Financial and investment advisers,24,Business & administration professionals,651,0.9844,0.33,0.4369,1.4789579135038875,0.42718628397080827,1.524040147907513,5,4,5,1.1433947817940695,0.5067702051425907,3,2,0,Robust High,Contested High,3.0,3.0,
2413,Financial analysts,24,Business & administration professionals,1776,0.9919,0.33,0.5626,1.5073211282699923,0.42718628397080827,2.287087627512243,5,4,5,1.407198346584348,0.7625949910169277,3,2,0,Robust High,Contested High,3.0,3.0,
2421,Management and organization analysts,24,Business & administration professionals,4664,0.9772,0.33,0.4498,1.4517292273284264,0.42718628397080827,1.6023481231414107,5,4,5,1.160421211480215,0.5221089331635526,3,2,0,Robust High,Contested High,3.0,3.0,
2422,Policy administration professionals,24,Business & administration professionals,3045,0.8883,0.33,0.148,1.1155305883008628,0.42718628397080827,-0.22969427419118815,5,4,3,0.437674199360161,0.549235820599009,3,1,0,Contested High,Mixed,3.0,3.0,
2423,Personnel and careers professionals,24,Business & administration professionals,1241,0.9527,0.33,0.2648,1.3590760590924837,0.42718628397080827,0.4793267728878296,5,4,4,0.7551963719837071,0.42753765138138955,3,1,0,Contested High,Contested High,3.0,3.0,
2424,Training and staff development professionals,24,Business & administration professionals,709,0.9306,0.33,0.1451,1.2754991195816945,0.42718628397080827,-0.24729839265462258,5,4,3,0.48512900363262673,0.6230281346721752,3,1,0,Contested High,Mixed,3.0,3.0,
2431,Advertising and marketing professionals,24,Business & administration professionals,3969,0.9331,0.33,0.5908,1.2849535245037298,0.42718628397080827,2.458272503604951,5,4,5,1.3901374373598296,0.8325164861389505,3,2,0,Contested High,Contested High,2.0,3.0,
2432,Public relations professionals,24,Business & administration professionals,1185,0.9548,0.0,0.1579,1.3670177592269932,-0.6854777735548961,-0.16959745598842882,5,2,3,0.1706475098945561,0.8717834041507244,3,1,0,Contested High,Mixed,3.0,3.0,
2433,Technical and medical sales professionals (excluding ICT),24,Business & administration professionals,1009,0.904,0.33,0.6043,1.1749042512112426,0.42718628397080827,2.540222710245077,5,4,5,1.3807710818090426,0.8748396419328405,3,2,0,Contested High,Contested High,4.0,3.0,
2434,Information and communications technology sales professionals,24,Business & administration professionals,599,0.9079,0.33,0.5337,1.1896531228896172,0.42718628397080827,2.111653481445602,5,4,5,1.2428309627686758,0.688708136940847,3,2,0,Robust High,Contested High,,,
2511,Systems analysts,25,ICT professionals,3852,0.9243,0.0,0.3436,1.2516740191781666,-0.6854777735548961,0.957673164239085,5,2,5,0.5079564699541185,0.852378279037024,3,2,0,Contested High,Contested High,3.0,3.0,
2512,Software developers,25,ICT professionals,9633,0.9428,0.0,0.3435,1.3216366156012251,-0.6854777735548961,0.9570661256713804,5,2,5,0.5310749892392365,0.8730133175877862,3,2,0,Contested High,Contested High,3.0,3.0,
2513,Web and multimedia developers,25,ICT professionals,572,0.9,0.0,0.3022,1.1597772033359866,-0.6854777735548961,0.7063591972093647,5,2,5,0.393552875663485,0.7851230597956991,3,2,0,Contested High,Mixed,3.0,3.0,
2514,Applications programmers,25,ICT professionals,933,0.951,1.0,0.4665,1.3526470637455,2.686231491674511,1.7037235639480857,5,5,5,1.9142007064560322,0.5644096191256961,3,3,0,Robust High,Contested High,3.0,3.0,
2519,Software and applications developers and analysts not elsewhere classified,25,ICT professionals,2067,0.9402,0.66,0.3521,1.311804034482309,1.5398503414965126,1.0092714424939793,5,5,5,1.286975272824267,0.21731826517926653,3,3,0,Robust High,Robust High,3.0,3.0,
2521,Database designers and administrators,25,ICT professionals,1027,0.9548,0.0,0.3076,1.3670177592269932,-0.6854777735548961,0.7391392798654149,5,2,5,0.47355975517917065,0.8587137050930039,3,2,0,Contested High,Mixed,,,
2522,Systems administrators,25,ICT professionals,1613,0.816,0.33,0.272,0.842109197955611,0.42718628397080827,0.5230335497625638,4,4,4,0.5974430105629943,0.17737499265655254,3,0,0,Mixed,Contested High,3.0,3.0,
2523,Computer network professionals,25,ICT professionals,230,0.7574,0.66,0.4937,0.6204979465831112,1.5398503414965126,1.8688380543637473,4,5,5,1.3430621141477903,0.5282880912221612,3,2,0,Robust High,Contested High,,,
2529,Database and network professionals not elsewhere classified,25,ICT professionals,751,0.9426,0.33,0.4913,1.3208802632074625,0.42718628397080827,1.8542691287388362,5,4,5,1.2007785586390358,0.58876122836454,3,2,0,Robust High,Contested High,,,
2611,Lawyers,26,"Legal, social & cultural professionals",1186,0.9671,0.0,0.2818,1.4135334314434052,-0.6854777735548961,0.5825233293976182,5,2,4,0.43685966242870905,0.863085719027269,3,1,0,Contested High,Mixed,3.0,3.0,
2612,Judges,26,"Legal, social & cultural professionals",132,0.997,0.0,0.0,1.5266081143109436,-0.6854777735548961,-1.128111354394053,5,2,1,-0.09566033787933521,1.1612629102118392,3,1,1,Contested High,Mixed,,,
