model,taxonomy,code,metric,value,source,notes
ilo_wp140,isco4,7321,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7321,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7322,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7322,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7322,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7323,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7323,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7323,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7411,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7411,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7411,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7412,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7412,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7412,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7413,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7413,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7413,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7421,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7421,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7421,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7422,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7422,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7422,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7511,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7511,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7511,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7512,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7512,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7512,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7513,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7513,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7513,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7514,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7514,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7514,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7515,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7515,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7515,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7516,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7516,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7516,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7521,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7521,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7521,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7522,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7522,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7522,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7523,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7523,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7523,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7531,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7531,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7531,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7532,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7532,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7532,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7533,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7533,augmentation_share,0.0,derived,WP140 class: Not Affected
