isco4,leaf_id,leaf_name_et
6111,61119900,Mujal liigitamata põllusaaduste ja köögiviljakasvatajad 
6112,61120001,Puuviljakasvataja
6112,61120003,Viinamarjakasvataja
6112,61120005,Marjakasvataja
6112,61129900,Mujal liigitamata puuvilja- ja marjakasvatajad 
6113,61130001,Aednik
6113,61130002,Maastikuaednik
6113,61130003,Väikeaiapidaja
6113,61130004,Seenekasvataja
6113,61130005,Istikukasvataja
6113,61130006,Kasvuhooneaednik
6113,61130007,Pargiaednik
6113,61130008,Puukooli töötaja
6113,61130009,Roosikasvataja
6113,61130010,Seemnekasvataja
6113,61130011,Taimekooli kasvataja
6113,61130012,Viljapuude kasvataja
6113,61130013,Arborist
6113,61139900,"Mujal liigitamata aednikud, puukooli töötajad ja istikukasvatajad"
6114,61140001,Segakultuuride kasvataja
6114,61140002,Põllumajanduse oskustöötaja (segakultuurid)
6114,61140003,Aiasaaduste kasvataja
6114,61140004,Taimekasvataja
6114,61140005,Taimekasvatustalunik
6114,61149900,Mujal liigitamata eri põllukultuuride kasvatajad 
6121,61210001,Veisekasvataja
6121,61210002,Piimakarja kasvataja
6121,61210003,Koerakasvataja
6121,61210004,Kitsekasvataja
6121,61210005,Hobusekasvataja
6121,61210006,Villapügaja
6121,61210007,Lambakasvataja
6121,61210010,Loomakasvataja
6121,61210011,Lüpsja
6121,61210012,Põllumajanduse oskustöötaja (karjakasvatus)
